I1027 17:41:27.561729       1 main.go:148] "Region provided via AWS_REGION environment variable" region="us-east-1"
I1027 17:46:53.494852       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I1027 17:46:53.494862       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
I1027 17:46:53.494867       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I1027 17:46:53.494873       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
I1027 17:46:53.635242       1 main.go:115] "Version" version="v4.9.0-eksbuild.4"
I1027 17:46:53.635525       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I1027 17:46:53.635542       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I1027 17:46:53.635546       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
I1027 17:46:53.635551       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I1027 17:46:53.635554       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
I1027 17:46:53.767352       1 feature_gate.go:385] feature gates: {map[]}
I1027 17:46:53.767496       1 main.go:134] "Version" version="v8.3.0-eksbuild.2"
I1027 17:46:53.767756       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I1027 17:46:53.767781       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I1027 17:46:53.767792       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
I1027 17:46:53.767798       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I1027 17:46:53.767804       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
I1027 17:46:53.920666       1 main.go:116] "Version" version="v1.14.0-eksbuild.4"
I1027 17:46:53.920760       1 feature_gate.go:385] feature gates: {map[]}
I1027 17:46:53.921050       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I1027 17:46:53.921073       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
I1027 17:46:53.921080       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I1027 17:46:53.921113       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
